,zillow_id,address,zipcode,sqft,lot,bed,bath,home_type,year_built,last_sold_date,last_sold_price
754,25071090.0,"7751 CROSSRIDGE RD, DUBLIN, CA",94568.0,1940.0,5317.0,3.0,2.5,SingleFamily,1989.0,04/30/1996,268500.0
755,25071091.0,"7749 CROSSRIDGE RD, DUBLIN, CA",94568.0,1647.0,5317.0,2.0,2.5,SingleFamily,1992.0,,
756,25063277.0,"7884 STARWARD DR, DUBLIN, CA",94568.0,1038.0,7796.0,3.0,2.0,SingleFamily,1960.0,,
757,25064930.0,"7619 FREDERIKSEN LN, DUBLIN, CA",94568.0,1701.0,6502.0,4.0,2.0,SingleFamily,1963.0,,
758,25064926.0,"7546 FREDERIKSEN CT, DUBLIN, CA",94568.0,1534.0,6581.0,3.0,2.0,SingleFamily,1964.0,,
759,25064910.0,"7545 FREDERIKSEN CT, DUBLIN, CA",94568.0,1246.0,6581.0,3.0,2.0,SingleFamily,1964.0,,
760,25064877.0,"7570 FREDERIKSEN LN, DUBLIN, CA",94568.0,1305.0,7665.0,4.0,2.0,SingleFamily,1963.0,,
761,25064878.0,"7556 FREDERIKSEN LN, DUBLIN, CA",94568.0,1246.0,6594.0,3.0,2.0,SingleFamily,1963.0,05/13/2004,505000.0
762,25064879.0,"7542 FREDERIKSEN LN, DUBLIN, CA",94568.0,1610.0,6501.0,5.0,2.5,SingleFamily,1964.0,07/30/1986,138000.0
763,68023108.0,"2806 SABLE OAKS WY, DUBLIN, CA",94568.0,4434.0,6627.0,4.0,4.5,SingleFamily,2004.0,06/16/2005,1203500.0
764,68023107.0,"2818 SABLE OAKS WY, DUBLIN, CA",94568.0,4434.0,6424.0,4.0,4.5,SingleFamily,2004.0,06/15/2005,1264000.0
765,64965216.0,"2822 SABLE OAKS WY, DUBLIN, CA",94568.0,5277.0,6913.0,7.0,6.5,SingleFamily,2004.0,10/27/2004,1117000.0
766,25063513.0,"7738 CONTER CT, DUBLIN, CA",94568.0,1395.0,11344.0,3.0,2.0,SingleFamily,1960.0,05/14/2007,600000.0
767,25069570.0,"8217 LOCUST PL S, DUBLIN, CA",94568.0,1440.0,5000.0,4.0,2.0,SingleFamily,1979.0,01/26/2016,650000.0
768,53050829.0,"3930 SOUTHBRIDGE WY, DUBLIN, CA",94568.0,1916.0,3066.0,3.0,2.5,SingleFamily,2000.0,01/09/2012,575000.0
769,25062858.0,"11642 PADRE WY, DUBLIN, CA",94568.0,2128.0,8042.0,5.0,2.5,SingleFamily,1968.0,11/05/2013,685000.0
770,25062857.0,"11668 PADRE WY, DUBLIN, CA",94568.0,1632.0,8136.0,4.0,2.0,SingleFamily,1968.0,06/11/2014,750000.0
771,25062845.0,"11690 PADRE WY, DUBLIN, CA",94568.0,2188.0,7594.0,4.0,2.0,SingleFamily,1967.0,,
772,25062844.0,"11702 PADRE WY, DUBLIN, CA",94568.0,1466.0,7956.0,3.0,2.0,SingleFamily,1967.0,12/14/1999,324500.0
773,25063809.0,"7938 TAMARACK DR, DUBLIN, CA",94568.0,1596.0,6600.0,3.0,2.0,SingleFamily,1961.0,,
774,25065371.0,"6965 PENN DR, DUBLIN, CA",94568.0,1638.0,5227.0,4.0,2.0,SingleFamily,1965.0,02/15/2012,450000.0
775,111389334.0,"7832 GATE WY, DUBLIN, CA",94568.0,1482.0,1554.0,3.0,2.5,Townhouse,1988.0,,
776,25064401.0,"7812 GATE WY, DUBLIN, CA",94568.0,1634.0,1616.0,3.0,2.5,Townhouse,1988.0,12/23/2009,370000.0
777,25070027.0,"6614 PIONEER LN, DUBLIN, CA",94568.0,1225.0,226949.0,2.0,2.5,Condominium,1986.0,01/21/2009,290000.0
778,25069990.0,"6613 PIONEER LN, DUBLIN, CA",94568.0,1225.0,226949.0,2.0,2.5,Condominium,,12/29/1995,153000.0
779,25065139.0,"7288 THAMES CT, DUBLIN, CA",94568.0,1993.0,6661.0,4.0,2.0,SingleFamily,1965.0,,
780,25065461.0,"6773 OAK CT, DUBLIN, CA",94568.0,1625.0,6575.0,4.0,2.5,SingleFamily,1967.0,08/21/1998,270000.0
781,25065415.0,"6950 LANCASTER RD, DUBLIN, CA",94568.0,1257.0,5580.0,3.0,2.0,SingleFamily,1967.0,,
782,25063412.0,"7521 IRONWOOD CT, DUBLIN, CA",94568.0,1321.0,11360.0,4.0,2.0,SingleFamily,1960.0,03/15/2002,359000.0
783,25063389.0,"7749 DONOHUE DR, DUBLIN, CA",94568.0,1116.0,6600.0,3.0,2.0,SingleFamily,1960.0,02/17/2006,639500.0
784,25065213.0,"7108 ELBA WY, DUBLIN, CA",94568.0,1473.0,7582.0,4.0,2.0,SingleFamily,1965.0,09/06/2012,505000.0
